id,role,page_id,is_allowed,created_at,updated_at
139,teacher,8,t,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
140,teacher,9,t,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
133,teacher,2,t,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
336,Training Organizer,16,t,2025-06-16 15:33:49.631929+07,2025-06-17 16:36:00.855773+07
780,Training Organizer,47,t,2025-06-17 16:34:38.945996+07,2025-06-17 16:36:00.855773+07
781,Training Organizer,48,t,2025-06-17 16:34:38.945996+07,2025-06-17 16:36:00.855773+07
782,Training Organizer,49,t,2025-06-17 16:34:38.945996+07,2025-06-17 16:36:00.855773+07
783,Training Organizer,50,t,2025-06-17 16:34:38.945996+07,2025-06-17 16:36:00.855773+07
784,Training Organizer,51,t,2025-06-17 16:34:38.945996+07,2025-06-17 16:36:00.855773+07
79,coordinator,13,t,2025-06-15 15:13:25.531406+07,2025-06-16 16:08:57.241536+07
267,coordinator,14,t,2025-06-16 10:46:58.616258+07,2025-06-16 16:08:57.241536+07
306,coordinator,16,t,2025-06-16 14:33:28.38556+07,2025-06-16 16:08:57.241536+07
105,director,13,t,2025-06-15 15:13:40.599634+07,2025-06-16 16:09:02.681816+07
263,director,14,t,2025-06-16 10:46:58.616258+07,2025-06-16 16:09:02.681816+07
304,director,16,t,2025-06-16 14:33:28.382739+07,2025-06-16 16:09:02.681816+07
56,collector,3,f,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
59,collector,6,f,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
66,collector,13,f,2025-06-15 15:13:16.972388+07,2025-06-17 16:34:46.629739+07
266,collector,14,f,2025-06-16 10:46:58.616258+07,2025-06-17 16:34:46.629739+07
351,collector,16,f,2025-06-16 15:34:00.270984+07,2025-06-17 16:34:46.629739+07
142,teacher,11,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
143,teacher,12,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
144,teacher,13,f,2025-06-15 15:14:03.557799+07,2025-06-17 17:57:07.190245+07
